Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
Snx7,310815,sorting nexin 7,1383742_at,1.71,0.0185,2388.2,1393.3,331
Efr3a,362923,EFR3 homolog A (S. cerevisiae),1390550_at,1.71,5.10E-07,992.3,579.8,331
Rnf182,498726,ring finger protein 182,1398412_at,-1.7,1.10E-06,3471.2,5895.4,339
BE120852,NA, ,1383565_at,-1.7,2.60E-05,215.4,366.4,339
Sidt1,288109,"SID1 transmembrane family, member 1",1375771_at,-1.7,0.0107,3288.5,5603.5,339
Homer1,29546,homer homolog 1 (Drosophila),1370997_at,-1.69,0.0005,349.4,590,342
Stc1,81801,stanniocalcin 1,1377404_at,-1.69,0.0003,627,1062.2,342
Kif22,293502,kinesin family member 22,1372516_at,1.69,5.80E-09,1434.1,851,342
Fam107a,361018,"family with sequence similarity 107, member A",1373266_at,1.69,0.0014,8639.9,5120.5,342
RGD1565033,498014,similar to hypothetical protein LOC284018 isoform b,1383624_at,-1.69,4.10E-07,5390.4,9102.2,342
Mtus2,498136,similar to mKIAA0774 protein,1385948_at,-1.69,8.20E-05,721.5,1218,342
Rnf207,691246,ring finger protein 207,1374311_at,-1.69,2.00E-06,292.1,493.1,342
AI177360,NA, ,1377646_at,-1.69,0.0002,827,1397.9,342
BI282819,NA, ,1383542_at,1.69,0.0008,36260.7,21457,342
Rn.156629,NA, ,1378006_at,-1.69,0.0246,324.8,548.1,342
BI295425,NA, ,1382180_at,-1.68,0.003,751.5,1265.3,352
H31701,NA, ,1380471_at,-1.68,2.80E-05,1471.5,2479.1,352
BF419584,NA, ,1392140_at,-1.68,5.60E-05,1218.2,2047.1,352
BE120415,NA, ,1385156_at,-1.68,0.0012,564,948.1,352
Rn.209056,NA, ,1397808_at,-1.68,0.0014,706.4,1185.7,352
Kank2,100361376,KN motif and ankyrin repeat domains 2,1377072_at,1.68,0.0011,908.1,540.7,352
Ano2,100361584,anoctamin 2-like,1384436_at,-1.68,0.0001,142.9,240,352
LOC100911864,100911864,uncharacterized LOC100911864,1383688_at,1.68,0.0003,161.9,96.1,352
Plau,25619,"plasminogen activator, urokinase",1387675_at,1.68,0.0032,535.2,318.3,352
Runx1,50662,runt-related transcription factor 1,1368914_at,1.68,1.80E-07,468.3,279,352
Per2,63840,period homolog 2 (Drosophila),1368303_at,-1.68,3.00E-08,2407.6,4044.3,352
Jup,81679,junction plakoglobin,1387061_at,1.68,1.10E-07,2029.3,1208.9,352
Actn3,171009,actinin alpha 3,1367962_at,-1.68,1.20E-07,214,358.8,352
Sp110,301570,SP110 nuclear body protein,1372930_at,1.68,0.0024,436.1,260.3,352
Ptprd,313278,"protein tyrosine phosphatase, receptor type, D",1374591_at,-1.68,2.40E-06,6176.8,10388.4,352
