Symbol,EntrezGene ID,Description,Imported ID,Fold Change,Meta-qvalue,Rank
DHRS3,9249,dehydrogenase/reductase (SDR family) member 3,DHRS3,-35.3586,0.0008,239
JRKL,8690,jerky homolog-like (mouse),JRKL,-35.3345,0.0008,240
ASCL1,429,achaete-scute complex homolog 1 (Drosophila),ASCL1,-35.3265,0.0008,241
GPT2,84706,glutamic pyruvate transaminase (alanine aminotransferase) 2,GPT2,-35.326,0.0003,242
NR2E1,7101,"nuclear receptor subfamily 2, group E, member 1",NR2E1,-35.3127,0.0008,243
LFNG,3955,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,LFNG,-35.2976,0.0008,244
CDKN2C,1031,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",CDKN2C,-35.2779,0.0008,245
MYOM1,8736,"myomesin 1, 185kDa",MYOM1,-35.2414,0.0009,246
NACC2,138151,"NACC family member 2, BEN and BTB (POZ) domain containing",AL832276,-35.2294,0.0009,247
LGALS3,3958,"lectin, galactoside-binding, soluble, 3",LGALS3,-35.2197,0.0009,248
SFTPB,6439,surfactant protein B,SFTPB,-35.2194,0.0009,249
ITGA2,3673,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",ITGA2,-35.2083,0.0009,250
PAX3,5077,paired box 3,PAX3,-35.2015,0.0009,251
HES1,3280,"hairy and enhancer of split 1, (Drosophila)",HES1,-35.1849,0.0009,252
MLC1,23209,megalencephalic leukoencephalopathy with subcortical cysts 1,MLC1,-35.1353,0.0009,253
LTB4R,1241,leukotriene B4 receptor,LTB4R,-35.1038,0.0009,254
ZNF175,7728,zinc finger protein 175,ZNF175,-35.0769,0.0009,255
TAF4,6874,"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa",TAF4,-35.0741,0.0009,256
MTM1,4534,myotubularin 1,MTM1,-35.0448,0.0009,257
ASB4,51666,ankyrin repeat and SOCS box containing 4,ASB4,-35.0189,0.0009,258
USF2,7392,"upstream transcription factor 2, c-fos interacting",USF2,-34.9985,0.0009,259
RREB1,6239,ras responsive element binding protein 1,RREB1,-34.9948,0.0009,260
WIPI1,55062,"WD repeat domain, phosphoinositide interacting 1",WIPI1,-34.9778,0.0009,261
TSC22D4,81628,"TSC22 domain family, member 4",TSC22D4,-34.8839,0.0009,262
CCL19,6363,chemokine (C-C motif) ligand 19,CCL19,-34.8562,0.0009,263
AKAP13,11214,A kinase (PRKA) anchor protein 13,AKAP13,-34.8167,0.0009,264
HBP1,26959,HMG-box transcription factor 1,HBP1,-34.8145,0.0009,265
AXL,558,AXL receptor tyrosine kinase,AXL,-34.7531,0.001,266
TRPV6,55503,"transient receptor potential cation channel, subfamily V, member 6",TRPV6,-34.7527,0.001,267
CHST3,9469,carbohydrate (chondroitin 6) sulfotransferase 3,CHST3,-34.7218,0.001,268
ADRB3,155,adrenoceptor beta 3,ADRB3,-34.6516,0.001,269
LCAT,3931,lecithin-cholesterol acyltransferase,LCAT,-34.6248,0.001,270
KAT6B,23522,K(lysine) acetyltransferase 6B,MYST4,-34.6171,0.001,271
RSF1,51773,remodeling and spacing factor 1,RSF1,-34.3924,0.0004,272
SCML2,10389,sex comb on midleg-like 2 (Drosophila),SCML2,-34.3176,0.0004,273
CLU,1191,clusterin,CLU,-34.0594,0.0004,274
ZMYM1,79830,"zinc finger, MYM-type 1",ZMYM1,-33.9314,0.0004,275
H3F3B,3021,"H3 histone, family 3B (H3.3B)",H3F3B,-33.8602,0.0005,276
FYCO1,79443,FYVE and coiled-coil domain containing 1,FYCO1,-33.7649,0.0005,277
ANGPTL4,51129,angiopoietin-like 4,ANGPTL4,-33.6393,0.0005,278
KCNK5,8645,"potassium channel, subfamily K, member 5",KCNK5,-33.6278,0.0005,279
APOM,55937,apolipoprotein M,APOM,-33.5388,0.0005,280
BC030525,NA, ,BC030525,-33.2686,0.0005,281
